transaction_id,customer_id,transaction_date,transaction_type,transaction_amount,channels,currency
130,6,06-04-2022,Credit,97349.37,Web,Naira
131,8,23-07-2022,Credit,592257.24,Web,Naira
132,9,21-07-2023,Debit,917170.05,Web,Naira
133,5,21-11-2022,Debit,367864.99,Web,Naira
134,1,13-09-2022,Debit,684270.01,Apps,Naira
135,19,19-07-2023,Debit,681413.6,Web,Naira
136,10,26-11-2022,Credit,75220.02,Web,Naira
137,12,17-06-2022,Credit,269812.93,Web,Naira
138,15,26-03-2023,Debit,841327.92,Cards,Pounds
139,9,09-07-2023,Credit,456279.08,Web,Naira
140,20,03-03-2023,Debit,744770.72,Web,Naira
141,17,18-12-2022,Credit,485644.32,Apps,Naira
142,17,21-10-2022,Credit,504697.98,Apps,Naira
143,20,02-06-2022,Debit,765778.35,Web,Naira
144,12,08-03-2023,Credit,320339.93,Apps,Naira
145,7,08-11-2022,Debit,999106.45,Apps,Naira
146,2,09-08-2022,Credit,198382.2,Cards,Naira
147,3,16-08-2022,Debit,591356.84,Apps,Naira
148,17,12-07-2022,Credit,52272.49,Web,Dollar
149,5,19-10-2022,Debit,359366.02,Cards,Dollar
150,17,27-03-2023,Credit,470295.37,Cards,Naira
151,17,06-05-2023,Credit,467023.82,Apps,Dollar
152,17,21-05-2023,Debit,924211.56,Apps,Naira
153,2,24-06-2022,Debit,848016.79,Apps,Naira
154,2,17-09-2022,Credit,972553.3,Apps,Naira
155,5,31-03-2023,Debit,468987.62,Web,Naira
156,1,07-04-2022,Debit,900098.68,Apps,Naira
157,1,02-10-2022,Credit,457654.64,Apps,Naira
158,19,31-07-2022,Debit,150662.06,Cards,Naira
159,2,24-04-2022,Credit,753046.56,Cards,Dollar
160,12,05-10-2022,Debit,425401.19,Apps,Naira
161,6,25-12-2022,Debit,34235.02,Cards,Naira
162,4,03-07-2023,Debit,148037.71,Cards,Naira
163,11,27-04-2022,Debit,323556.26,Cards,Naira
164,17,27-02-2023,Debit,989864.51,Web,Dollar
165,6,09-08-2023,Credit,635871.11,Cards,Naira
166,5,29-08-2023,Debit,405424.07,Apps,Naira
167,20,20-06-2022,Credit,23810.66,Web,Naira
168,2,22-08-2022,Debit,793461.36,Apps,Naira
169,6,10-04-2022,Credit,665154.35,Apps,Naira
170,11,04-07-2023,Debit,181052.15,Apps,Dollar
171,16,05-05-2023,Debit,597007.79,Web,Naira
172,16,26-01-2023,Debit,192070.52,Apps,Naira
173,1,22-11-2022,Debit,103897.74,Cards,Naira
174,9,12-05-2023,Debit,397378.73,Apps,Naira
175,6,13-08-2023,Debit,158400.83,Apps,Naira
176,16,26-02-2023,Credit,343942.07,Cards,Naira
177,3,15-12-2022,Credit,31463.86,Web,Naira
178,20,13-01-2023,Credit,398309.58,Apps,Naira
179,4,31-05-2022,Credit,310486.91,Cards,Naira
180,19,01-06-2022,Debit,955643.8,Cards,Naira
181,3,19-04-2022,Credit,553835.35,Cards,Naira
182,19,13-10-2022,Debit,235461.9,Apps,Naira
183,20,01-12-2022,Credit,491669.42,Cards,Naira
184,7,12-08-2023,Credit,726491.91,Apps,Naira
185,20,05-11-2022,Credit,438527.68,Web,Naira
186,9,11-12-2022,Debit,947857.58,Apps,Naira
187,1,18-02-2023,Debit,168222.44,Web,Naira
188,8,30-06-2023,Credit,969408.91,Apps,Naira
189,7,17-05-2022,Debit,69162.81,Web,Naira
190,18,08-03-2023,Credit,961825.02,Apps,Naira
191,8,12-03-2023,Debit,76237.02,Apps,Naira
192,1,05-06-2022,Credit,330049.68,Cards,Dollar
193,11,23-09-2022,Debit,481933.25,Web,Naira
194,18,01-12-2022,Credit,296428.64,Web,Naira
195,10,27-07-2023,Credit,242800.9,Web,Naira
196,3,02-02-2023,Credit,943904.61,Cards,Naira
197,7,18-12-2022,Debit,805585.83,Cards,Dollar
198,16,18-04-2023,Credit,422181.96,Cards,Naira
199,16,21-12-2022,Credit,22837.92,Web,Naira
200,20,14-12-2022,Debit,314927.6,Apps,Naira
201,17,18-05-2023,Credit,167016.37,Apps,Naira
202,2,13-06-2022,Credit,634154.44,Cards,Naira
203,1,10-07-2022,Debit,687216.99,Apps,Naira
204,16,17-03-2023,Credit,434707.46,Web,Naira
205,12,03-07-2023,Credit,130628.91,Cards,Naira
206,5,22-12-2022,Credit,138133.8,Apps,Naira
207,5,18-11-2022,Debit,289078.15,Web,Naira
208,9,29-03-2023,Credit,727509.18,Apps,Dollar
209,9,11-03-2023,Credit,809053.04,Apps,Naira
210,3,07-08-2023,Debit,865456.56,Cards,Naira
211,19,02-08-2023,Credit,375871.86,Cards,Naira
212,16,29-07-2022,Credit,970726.4,Apps,Naira
213,16,26-06-2022,Debit,72493.74,Web,Naira
214,3,03-06-2022,Credit,452607.43,Cards,Naira
215,20,19-05-2022,Debit,422830.57,Apps,Naira
216,1,18-06-2022,Credit,217361.43,Web,Naira
217,20,25-09-2022,Debit,332938.61,Web,Dollar
218,11,16-03-2023,Debit,241103.97,Cards,Naira
219,17,26-01-2023,Credit,873155.04,Web,Naira
220,8,23-12-2022,Credit,319411.67,Cards,Naira
221,4,25-04-2023,Credit,916580.53,Cards,Naira
222,6,19-07-2023,Credit,972802.59,Web,Dollar
223,8,21-02-2023,Debit,788938.08,Cards,Naira
224,20,04-08-2022,Debit,559445.79,Apps,Naira
225,3,20-09-2022,Debit,581447.6,Web,Naira
226,16,11-12-2022,Credit,337750.11,Cards,Naira
227,3,17-03-2023,Debit,202433.99,Web,Naira
228,18,06-07-2023,Debit,135861.52,Apps,Naira
229,14,08-05-2023,Credit,328614.42,Apps,Naira
230,18,21-01-2023,Debit,636354.91,Cards,Naira
231,2,26-07-2023,Debit,971424.33,Cards,Naira
232,3,15-06-2022,Debit,236637.43,Apps,Naira
233,16,12-05-2022,Debit,596906.43,Cards,Naira
234,9,08-04-2023,Credit,244647.7,Cards,Naira
235,4,20-01-2023,Debit,821460.42,Cards,Naira
236,1,06-01-2023,Debit,493702.04,Web,Naira
237,4,16-09-2022,Credit,475055.02,Apps,Naira
238,1,19-11-2022,Debit,29203.32,Cards,Naira
239,14,05-03-2023,Credit,515850.86,Web,Pounds
240,16,24-05-2022,Debit,104626.83,Cards,Naira
241,20,08-12-2022,Credit,752690.4,Cards,Naira
242,8,26-04-2023,Credit,627370.93,Apps,Naira
243,7,06-06-2023,Credit,90494.59,Web,Naira
244,3,30-03-2023,Credit,496031.07,Apps,Pounds
245,17,01-12-2022,Credit,606573.78,Apps,Naira
246,1,14-06-2023,Credit,892001.47,Web,Naira
247,16,25-04-2023,Debit,958690.02,Web,Naira
248,12,04-08-2023,Credit,273347.25,Apps,Naira
249,19,15-05-2023,Credit,454990.08,Cards,Naira
250,14,16-05-2023,Debit,779658.89,Apps,Naira
251,6,24-12-2022,Credit,793368.76,Apps,Naira
252,6,03-11-2022,Debit,283448.26,Web,Naira
253,13,27-10-2022,Debit,151652.53,Cards,Naira
254,19,29-07-2022,Debit,849295.06,Web,Naira
255,8,02-01-2023,Debit,68431.04,Web,Naira
256,2,18-09-2022,Debit,254119.76,Web,Naira
257,1,19-01-2023,Debit,636739.12,Apps,Naira
258,15,27-07-2023,Credit,333942.23,Apps,Naira
259,1,21-04-2023,Credit,826588.41,Web,Naira
260,5,23-10-2022,Debit,487727.59,Web,Naira
261,16,27-06-2023,Credit,154658.99,Apps,Dollar
262,19,17-06-2022,Credit,280029.99,Cards,Naira
263,4,20-07-2023,Debit,326835.31,Cards,Naira
264,3,19-02-2023,Credit,985431.72,Web,Naira
265,17,28-05-2022,Credit,608723.31,Apps,Naira
266,17,06-02-2023,Credit,540947.07,Web,Naira
267,12,07-04-2023,Debit,825895.08,Apps,Naira
268,14,01-03-2023,Debit,649383.16,Web,Naira
269,6,15-02-2023,Credit,958148.44,Web,Naira
270,3,16-05-2023,Credit,601611.32,Apps,Naira
271,9,23-06-2023,Credit,129158.79,Cards,Naira
272,5,13-05-2023,Credit,736085.72,Cards,Pounds
273,17,22-08-2022,Debit,738139.93,Apps,Naira
274,14,07-12-2022,Credit,202993.65,Web,Naira
275,3,02-09-2022,Credit,800860.01,Cards,Naira
276,1,20-08-2023,Credit,289631.7,Apps,Naira
277,20,23-04-2023,Credit,792802.21,Cards,Naira
278,1,21-06-2022,Debit,428761.41,Web,Naira
279,3,19-03-2023,Debit,820400.67,Web,Naira
280,18,16-08-2022,Debit,20804.87,Web,Naira
281,10,04-08-2023,Credit,268378,Web,Naira
282,3,10-05-2023,Debit,152619,Web,Naira
283,8,01-06-2022,Credit,35030.86,Cards,Naira
284,14,08-09-2022,Credit,655118.62,Cards,Naira
285,18,13-12-2022,Credit,764749.89,Cards,Naira
286,15,16-06-2023,Debit,87922.58,Web,Naira
287,2,22-09-2022,Credit,470290.09,Apps,Naira
288,10,13-07-2023,Credit,910708.56,Apps,Dollar
289,2,12-04-2022,Credit,156138.6,Apps,Naira
290,17,10-05-2022,Debit,629630.97,Cards,Naira
291,8,04-07-2023,Debit,559711.72,Apps,Naira
292,1,25-04-2023,Credit,597906.61,Web,Naira
293,9,20-03-2023,Debit,760876.95,Cards,Naira
294,11,05-04-2023,Debit,116667.42,Cards,Naira
295,16,03-05-2022,Credit,280816.54,Cards,Naira
296,7,19-06-2023,Credit,283189.96,Apps,Naira
297,10,06-07-2022,Debit,709233.76,Cards,Naira
298,3,30-01-2023,Debit,458800.15,Cards,Naira
299,18,17-10-2022,Credit,171272.08,Web,Naira
300,13,04-11-2022,Debit,137250.33,Apps,Naira
301,7,14-01-2023,Credit,956544.5,Apps,Naira
302,4,19-06-2023,Credit,132675.79,Web,Naira
303,13,09-07-2022,Credit,869060.32,Apps,Pounds
304,20,18-08-2022,Credit,557049.37,Apps,Naira
305,1,17-06-2023,Debit,375133.77,Cards,Pounds
306,8,26-12-2022,Debit,322116.04,Cards,Naira
307,14,18-04-2023,Credit,723296.23,Apps,Naira
308,16,11-04-2023,Debit,554625.85,Web,Naira
309,14,30-04-2022,Credit,632601.44,Web,Dollar
310,12,28-05-2022,Credit,649865.03,Web,Naira
311,19,07-08-2022,Debit,401582.32,Apps,Naira
312,15,28-12-2022,Credit,333344.36,Cards,Naira
313,2,28-06-2022,Credit,837712.59,Apps,Naira
314,2,01-06-2022,Debit,44188.65,Apps,Dollar
315,19,29-09-2022,Credit,290079.83,Apps,Naira
316,17,07-12-2022,Credit,569960.72,Cards,Naira
317,20,31-05-2022,Credit,572844.33,Web,Naira
318,10,18-07-2022,Debit,884427.02,Web,Naira
319,6,30-01-2023,Credit,65300.59,Web,Naira
320,15,10-07-2023,Credit,720097.53,Web,Naira
321,11,08-05-2022,Debit,140548.09,Web,Naira
322,5,09-07-2022,Debit,73239.12,Web,Naira
323,1,14-05-2023,Credit,77215.71,Cards,Naira
324,8,29-06-2022,Credit,160054.23,Web,Naira
325,12,15-10-2022,Credit,527552.78,Cards,Naira
326,12,04-05-2022,Credit,940721.56,Web,Naira
327,5,12-07-2022,Credit,242663.46,Apps,Naira
328,7,16-07-2022,Debit,757112.97,Cards,Naira
329,4,08-07-2023,Credit,972596.24,Cards,Naira
330,6,15-06-2023,Credit,344776.47,Apps,Naira
331,13,14-06-2022,Debit,418515.37,Cards,Naira
332,20,21-01-2023,Credit,753342.19,Apps,Naira
333,15,29-12-2022,Credit,497531.14,Apps,Naira
334,3,06-02-2023,Credit,549660.27,Web,Naira
335,8,18-07-2022,Credit,529432.55,Cards,Naira
336,20,06-04-2023,Credit,645400.52,Web,Naira
337,16,23-03-2023,Debit,402030.27,Cards,Naira
338,13,22-05-2023,Debit,163434.17,Apps,Naira
339,18,03-02-2023,Debit,824617.49,Web,Naira
340,10,16-04-2023,Debit,816220.51,Cards,Dollar
341,19,16-12-2022,Debit,454013.16,Web,Naira
342,17,08-06-2023,Credit,124096.66,Web,Naira
343,19,16-04-2023,Debit,912310.13,Web,Naira
344,5,01-06-2023,Debit,268147.14,Web,Naira
345,9,11-03-2023,Debit,246872.72,Apps,Naira
346,12,07-10-2022,Debit,648310.99,Web,Naira
347,1,08-06-2022,Debit,562107.73,Cards,Dollar
348,1,26-05-2022,Credit,61958.27,Cards,Naira
349,15,29-07-2023,Debit,844464.25,Apps,Naira
350,2,03-05-2023,Debit,233264.67,Web,Naira
351,16,15-06-2023,Credit,51970.88,Apps,Naira
352,8,20-08-2023,Credit,226810.89,Web,Naira
353,13,17-07-2023,Debit,240338.99,Cards,Naira
354,1,23-10-2022,Credit,161104.44,Web,Naira
355,16,13-03-2023,Debit,871778.31,Web,Naira
356,7,04-08-2023,Debit,505578.04,Cards,Naira
357,5,21-09-2022,Credit,329720.75,Cards,Naira
358,3,09-11-2022,Debit,758403.45,Apps,Dollar
359,12,13-12-2022,Credit,673560.37,Cards,Naira
360,16,27-03-2023,Debit,29063.17,Cards,Naira
361,19,15-08-2023,Debit,767881.31,Web,Naira
362,5,29-04-2023,Credit,497304.99,Apps,Naira
363,14,07-06-2022,Credit,672945.65,Web,Naira
364,5,13-08-2023,Debit,700153.5,Apps,Naira
365,15,06-09-2022,Debit,554530.77,Web,Dollar
366,17,01-12-2022,Credit,49728.72,Apps,Naira
367,14,29-07-2022,Debit,593771.98,Web,Naira
368,20,23-02-2023,Credit,216748.24,Web,Naira
369,5,02-05-2022,Debit,586911.79,Cards,Naira
370,12,08-07-2023,Credit,17080.85,Apps,Naira
371,16,15-04-2023,Debit,704805.97,Apps,Naira
372,16,26-02-2023,Debit,585767.38,Apps,Naira
373,7,28-06-2022,Debit,374437.05,Web,Naira
374,4,01-10-2022,Debit,899593.18,Web,Naira
375,1,20-09-2022,Debit,172537.39,Web,Naira
376,5,12-04-2022,Debit,220650.55,Apps,Naira
377,10,16-06-2023,Debit,540867.68,Cards,Naira
378,5,09-04-2022,Debit,916048.66,Cards,Naira
379,4,17-06-2022,Debit,746811.35,Cards,Naira
380,2,27-05-2022,Debit,288602.98,Cards,Naira
381,20,20-04-2022,Debit,560700.09,Web,Naira
382,10,11-04-2022,Debit,515770.83,Web,Naira
383,19,22-07-2022,Credit,168264.69,Cards,Dollar
384,1,21-05-2023,Credit,209570.06,Web,Naira
385,5,28-09-2022,Credit,611542.33,Cards,Naira
386,13,07-10-2022,Credit,341140.88,Web,Naira
387,4,15-04-2023,Credit,333787.5,Web,Naira
388,16,19-08-2023,Credit,267738.43,Apps,Naira
389,16,24-05-2022,Debit,127975.98,Cards,Naira
390,2,14-07-2023,Debit,292527.91,Web,Dollar
391,17,02-08-2023,Debit,38529.3,Cards,Naira
392,20,29-09-2022,Debit,607334.18,Web,Dollar
393,12,28-04-2023,Debit,654894.53,Web,Naira
394,18,06-10-2022,Credit,516687.06,Cards,Naira
395,3,18-07-2023,Debit,411633.91,Apps,Naira
396,1,12-06-2022,Credit,192983.72,Cards,Naira
397,1,23-01-2023,Debit,51243.49,Apps,Naira
398,19,17-07-2023,Credit,806589.46,Web,Naira
399,11,22-11-2022,Debit,745385.27,Apps,Naira
400,5,30-03-2023,Debit,875491.98,Apps,Naira
401,12,27-01-2023,Debit,208141.21,Web,Naira
402,3,08-04-2022,Credit,574504.91,Apps,Naira
403,1,10-04-2022,Credit,749800.31,Web,Naira
404,1,25-01-2023,Credit,834600.4,Apps,Naira
405,8,20-05-2022,Debit,677464.27,Apps,Dollar
406,10,29-04-2022,Credit,887785.63,Web,Naira
407,11,25-10-2022,Debit,819681.69,Web,Naira
408,12,11-08-2022,Debit,367328.94,Cards,Pounds
409,13,15-04-2022,Credit,63823.88,Cards,Naira
410,12,02-07-2022,Debit,629856.46,Apps,Naira
411,14,07-06-2022,Credit,571178.13,Apps,Naira
412,2,24-01-2023,Credit,885536.62,Apps,Naira
413,19,23-08-2022,Debit,259809.25,Cards,Naira
414,18,13-09-2022,Credit,515988.39,Web,Naira
415,3,31-05-2022,Debit,316802.55,Cards,Naira
416,17,13-07-2022,Credit,224259.32,Web,Naira
417,8,04-10-2022,Debit,189109.96,Apps,Naira
418,10,06-05-2022,Credit,340592.69,Cards,Naira
419,2,10-08-2022,Credit,504596.79,Cards,Naira
420,19,26-05-2022,Debit,722742.68,Apps,Naira
421,9,05-07-2022,Debit,722769.58,Cards,Naira
422,7,01-11-2022,Debit,463305.49,Cards,Naira
423,4,28-04-2022,Credit,396846.85,Web,Dollar
424,18,30-06-2022,Credit,756320.06,Web,Naira
425,13,12-04-2022,Debit,921610.76,Cards,Naira
426,11,25-02-2023,Debit,485373.82,Cards,Naira
427,4,22-08-2022,Credit,600772.97,Apps,Naira
428,4,28-05-2023,Credit,797053.14,Apps,Naira
429,10,07-04-2023,Credit,670354.07,Web,Naira
430,5,11-12-2022,Credit,938446.92,Apps,Naira
431,9,08-10-2022,Credit,86897.38,Cards,Naira
432,3,11-06-2023,Credit,116188.97,Web,Naira
433,17,28-08-2022,Credit,10268.03,Apps,Pounds
434,3,17-12-2022,Debit,40887.94,Web,Naira
435,16,07-12-2022,Credit,59527.76,Cards,Naira
436,4,19-05-2022,Debit,21099.79,Web,Naira
437,18,28-04-2022,Debit,281489.01,Cards,Naira
438,17,29-09-2022,Credit,10009.38,Web,Naira
439,7,22-01-2023,Credit,450610.01,Cards,Naira
440,5,09-04-2022,Credit,731460.75,Web,Naira
441,12,08-09-2022,Debit,961596.31,Apps,Naira
442,17,06-08-2023,Credit,106260.34,Apps,Naira
443,13,08-08-2022,Debit,374369.27,Apps,Naira
444,3,28-04-2022,Debit,649314.39,Apps,Naira
445,9,16-07-2023,Debit,971230.8,Apps,Naira
446,17,19-06-2023,Debit,744428.02,Cards,Naira
447,17,07-08-2023,Debit,379092.76,Apps,Naira
448,20,18-09-2022,Credit,287178.89,Apps,Naira
449,16,16-07-2023,Debit,657089.71,Cards,Naira
450,13,10-03-2023,Debit,304495.23,Cards,Naira
451,19,26-12-2022,Credit,44642.83,Apps,Naira
452,17,10-08-2022,Credit,128875.75,Apps,Naira
453,4,03-04-2023,Credit,150419.7,Apps,Naira
454,12,27-02-2023,Credit,462358.37,Cards,Naira
455,9,02-07-2022,Debit,932923.18,Apps,Naira
456,19,01-05-2022,Credit,983450.23,Apps,Naira
457,12,10-12-2022,Debit,915420.4,Cards,Naira
458,9,17-05-2022,Credit,129121.77,Cards,Naira
459,7,15-08-2022,Debit,640342.69,Cards,Dollar
460,14,21-12-2022,Debit,952900.74,Cards,Naira
461,20,12-07-2022,Credit,794834.9,Cards,Naira
462,19,25-12-2022,Credit,881487.66,Cards,Naira
463,15,11-06-2023,Credit,932722.74,Cards,Naira
464,16,04-05-2023,Debit,182835.48,Cards,Naira
465,5,17-04-2022,Credit,121460.9,Cards,Naira
466,3,16-01-2023,Credit,727560.94,Web,Naira
467,12,11-02-2023,Credit,460692.13,Apps,Naira
468,20,01-04-2023,Debit,887575.61,Apps,Naira
469,4,10-02-2023,Debit,697969.39,Web,Naira
470,16,26-08-2022,Debit,280403.21,Cards,Naira
471,7,25-08-2022,Debit,32333.36,Apps,Dollar
472,13,07-08-2022,Credit,567598.35,Apps,Naira
473,10,29-12-2022,Credit,72651.01,Cards,Naira
474,7,03-06-2023,Debit,694883.5,Cards,Naira
475,14,14-09-2022,Debit,223320.82,Cards,Naira
476,5,21-06-2023,Credit,403563.55,Cards,Naira
477,3,25-09-2022,Debit,383650.77,Web,Naira
478,11,10-02-2023,Credit,46789.56,Apps,Naira
479,11,06-12-2022,Debit,438162.65,Cards,Naira
480,18,08-07-2022,Debit,471044.57,Apps,Naira
481,15,31-01-2023,Debit,183272.66,Apps,Naira
482,12,16-08-2023,Credit,23136.37,Apps,Naira
483,9,16-02-2023,Debit,898434.03,Cards,Naira
484,10,26-02-2023,Credit,660043.93,Cards,Naira
485,12,29-10-2022,Credit,959834.59,Web,Pounds
486,17,08-08-2023,Credit,877612.07,Apps,Naira
487,6,07-07-2022,Debit,712802.73,Apps,Naira
488,7,24-07-2023,Debit,721682.13,Web,Naira
489,14,22-03-2023,Credit,210671.65,Cards,Naira
490,13,22-01-2023,Credit,274611.59,Web,Naira
491,8,24-08-2022,Credit,674530.13,Apps,Naira
492,10,07-10-2022,Debit,963557.71,Apps,Naira
493,9,26-07-2023,Debit,196189.12,Web,Naira
494,18,06-08-2023,Credit,692778.45,Apps,Dollar
495,2,07-04-2022,Debit,812250.39,Cards,Naira
496,5,23-08-2022,Debit,995879.08,Cards,Naira
497,5,26-05-2023,Credit,53681.87,Apps,Naira
498,6,11-06-2022,Debit,567579.85,Apps,Naira
499,19,11-07-2023,Credit,858428.23,Apps,Naira
500,8,18-06-2022,Debit,563354.95,Cards,Naira
